"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ebf1",2.84493501030811e-248,5.93862602659483,0.997,0.067,4.69044435149498e-244,"Activated B Cells","Ebf1"
"Bank1",8.65361165587422e-240,5.4150864084685,0.99,0.074,1.42672095370398e-235,"Activated B Cells","Bank1"
"Cd79a",1.15782846310624e-222,5.16836506778652,0.957,0.071,1.90891178712325e-218,"Activated B Cells","Cd79a"
"Pax5",1.34726400723396e-220,5.44433378193543,0.952,0.059,2.22123416872664e-216,"Activated B Cells","Pax5"
"Bach2",1.80192243997752e-204,3.6059223082267,0.978,0.618,2.97082952679093e-200,"Activated B Cells","Bach2"
"Myo1e",2.46822128287244e-201,5.75460416540139,0.91,0.074,4.06935642907179e-197,"Activated B Cells","Myo1e"
"Gm43291",2.17997521527784e-190,3.32783167062354,0.962,0.532,3.59412513742857e-186,"Activated B Cells","Gm43291"
"Ikzf3",8.19150017150037e-176,4.85071038787637,0.867,0.138,1.35053263327527e-171,"Activated B Cells","Ikzf3"
"H2-Eb1",1.23451930268746e-169,2.1547820302196,0.962,0.655,2.03535197434082e-165,"Activated B Cells","H2-Eb1"
"Foxp1",4.19282675440808e-168,1.85281849262711,0.994,0.951,6.9127134699926e-164,"Activated B Cells","Foxp1"
"Ralgps2",9.0582606371367e-168,3.51652346907963,0.911,0.488,1.49343543124473e-163,"Activated B Cells","Ralgps2"
"Ms4a1",1.59284927353169e-167,4.70864084660047,0.844,0.052,2.62613059727169e-163,"Activated B Cells","Ms4a1"
"Man1a",4.44905756737455e-164,2.72371691657117,0.954,0.567,7.33516121133042e-160,"Activated B Cells","Man1a"
"H2-Aa",4.12968027035263e-161,1.91183056667913,0.969,0.722,6.80860386173039e-157,"Activated B Cells","H2-Aa"
"Cd83",1.29913623004214e-158,5.34424401753345,0.816,0.076,2.14188590247047e-154,"Activated B Cells","Cd83"
"Rapgef4",1.75750860461755e-158,5.60083347760544,0.808,0.052,2.89760443643295e-154,"Activated B Cells","Rapgef4"
"4930523C07Rik",3.74483640708214e-151,4.40972892431045,0.813,0.15,6.17411178435632e-147,"Activated B Cells","4930523C07Rik"
"Hivep2",8.08011863796134e-151,4.11057041463893,0.835,0.158,1.33216915984069e-146,"Activated B Cells","Hivep2"
"Fam134b",2.86475936676466e-142,4.1484801055074,0.818,0.222,4.7231287679849e-138,"Activated B Cells","Fam134b"
"Cd74",5.43706127560704e-142,1.47345660112657,0.99,0.796,8.96408292509333e-138,"Activated B Cells","Cd74"
"Pou2af1",2.47311191726939e-140,5.4792007300984,0.757,0.049,4.07741961800204e-136,"Activated B Cells","Pou2af1"
"Cd55",3.7114651977981e-138,5.29667071178734,0.753,0.054,6.11909267160974e-134,"Activated B Cells","Cd55"
"Scd1",1.15866419756295e-136,5.27485741300116,0.745,0.044,1.91028966252204e-132,"Activated B Cells","Scd1"
"Zcchc11",4.1299966400026e-135,2.13452120757687,0.902,0.48,6.80912546037228e-131,"Activated B Cells","Zcchc11"
"Xylt1",6.26268228899055e-130,3.30342814385809,0.85,0.401,1.03252842898587e-125,"Activated B Cells","Xylt1"
"H2-DMb2",1.77130378966748e-129,3.67702500999482,0.777,0.224,2.92034855802477e-125,"Activated B Cells","H2-DMb2"
"Cd79b",4.30810429104151e-129,3.68022224481447,0.792,0.259,7.10277154464014e-125,"Activated B Cells","Cd79b"
"Arhgap26",1.7459483119017e-127,2.77241201227184,0.85,0.379,2.87854498183233e-123,"Activated B Cells","Arhgap26"
"Arhgap15",2.44091586211759e-124,1.25217924950249,0.995,0.988,4.02433798187328e-120,"Activated B Cells","Arhgap15"
"Prkce",3.0198831918925e-124,2.07053766143012,0.93,0.749,4.97888141847317e-120,"Activated B Cells","Prkce"
"H2-Ab1",3.1519625162645e-124,1.61923425402771,0.964,0.704,5.19664060056529e-120,"Activated B Cells","H2-Ab1"
"Rps19",1.31577897696038e-121,1.29302361410889,0.951,0.963,2.16932479931458e-117,"Activated B Cells","Rps19"
"Prkcb",4.74439266687739e-121,1.63381484203087,0.972,0.857,7.82208018988076e-117,"Activated B Cells","Prkcb"
"Fcmr",1.42962820551033e-119,5.83585121675612,0.688,0.039,2.35702802242488e-115,"Activated B Cells","Fcmr"
"Lrrk2",2.96407304816572e-119,5.26282803271218,0.696,0.049,4.88686723451083e-115,"Activated B Cells","Lrrk2"
"Gimap6",1.37658503919546e-117,4.35956057638146,0.716,0.111,2.26957575412156e-113,"Activated B Cells","Gimap6"
"Nfatc3",4.46484675035038e-117,2.63304302303465,0.853,0.569,7.36119283730267e-113,"Activated B Cells","Nfatc3"
"Ets1",2.31391996342543e-116,1.91814113691322,0.946,0.803,3.8149598436995e-112,"Activated B Cells","Ets1"
