"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccr7",0,2.87469465015899,0.772,0.135,0,"CD4/8 Naive/Stemlike","Ccr7"
"Inadl",0,3.81453305316005,0.673,0.092,0,"CD4/8 Naive/Stemlike","Inadl"
"Actn1",0,3.51087391465458,0.689,0.11,0,"CD4/8 Naive/Stemlike","Actn1"
"Aff3",0,1.65860419074102,0.917,0.372,0,"CD4/8 Naive/Stemlike","Aff3"
"Itga6",0,2.55603218181153,0.725,0.23,0,"CD4/8 Naive/Stemlike","Itga6"
"Lef1",0,2.75110228159315,0.984,0.49,0,"CD4/8 Naive/Stemlike","Lef1"
"Sh3bp5",0,2.89024159324999,0.65,0.156,0,"CD4/8 Naive/Stemlike","Sh3bp5"
"Ifngr2",0,2.70070792482155,0.631,0.137,0,"CD4/8 Naive/Stemlike","Ifngr2"
"St8sia6",0,3.30143079524865,0.57,0.092,0,"CD4/8 Naive/Stemlike","St8sia6"
"Cmah",0,2.20715029607161,0.719,0.242,0,"CD4/8 Naive/Stemlike","Cmah"
"Sell",0,1.83787054845162,0.698,0.223,0,"CD4/8 Naive/Stemlike","Sell"
"S1pr1",0,1.80967049918001,0.692,0.228,0,"CD4/8 Naive/Stemlike","S1pr1"
"Tcf7",0,1.72169066919732,0.755,0.294,0,"CD4/8 Naive/Stemlike","Tcf7"
"Dusp10",0,1.7668751337327,0.874,0.414,0,"CD4/8 Naive/Stemlike","Dusp10"
"Igfbp4",0,4.9733787717965,0.477,0.03,0,"CD4/8 Naive/Stemlike","Igfbp4"
"St8sia1",0,2.52663466707325,0.566,0.126,0,"CD4/8 Naive/Stemlike","St8sia1"
"Rapgef4",0,3.77106221194986,0.467,0.043,0,"CD4/8 Naive/Stemlike","Rapgef4"
"Kif1b",0,2.17736017331197,0.836,0.432,0,"CD4/8 Naive/Stemlike","Kif1b"
"Pecam1",0,1.56505329999237,0.762,0.369,0,"CD4/8 Naive/Stemlike","Pecam1"
"Rras2",0,1.90106618174741,0.793,0.409,0,"CD4/8 Naive/Stemlike","Rras2"
"Adk",0,1.66240046874349,0.792,0.408,0,"CD4/8 Naive/Stemlike","Adk"
"Dirc2",0,2.47066087666108,0.53,0.154,0,"CD4/8 Naive/Stemlike","Dirc2"
"Fam101b",0,3.05397635889222,0.432,0.063,0,"CD4/8 Naive/Stemlike","Fam101b"
"Cd55",0,2.74474476184537,0.475,0.112,0,"CD4/8 Naive/Stemlike","Cd55"
"Gramd3",0,1.34884894313676,0.961,0.605,0,"CD4/8 Naive/Stemlike","Gramd3"
"Scml4",0,1.40468616814839,0.89,0.543,0,"CD4/8 Naive/Stemlike","Scml4"
"Thada",0,1.58176388936149,0.883,0.542,0,"CD4/8 Naive/Stemlike","Thada"
"Smc6",0,1.64860581991743,0.853,0.529,0,"CD4/8 Naive/Stemlike","Smc6"
"Satb1",0,1.9623508882792,0.991,0.674,0,"CD4/8 Naive/Stemlike","Satb1"
"Khdrbs3",0,5.25068923583741,0.32,0.017,0,"CD4/8 Naive/Stemlike","Khdrbs3"
"Stat5b",0,1.30115192050129,0.931,0.646,0,"CD4/8 Naive/Stemlike","Stat5b"
"Zeb1",0,1.55685018626458,0.955,0.691,0,"CD4/8 Naive/Stemlike","Zeb1"
"Crlf3",0,1.2832561022911,0.91,0.653,0,"CD4/8 Naive/Stemlike","Crlf3"
"Bach2",0,1.70659697630577,0.993,0.752,0,"CD4/8 Naive/Stemlike","Bach2"
"Dip2b",0,1.51954921475396,0.905,0.682,0,"CD4/8 Naive/Stemlike","Dip2b"
"Gm10073",0,1.11346687354468,0.904,0.739,0,"CD4/8 Naive/Stemlike","Gm10073"
"Foxp1",0,1.70353433884177,0.993,0.835,0,"CD4/8 Naive/Stemlike","Foxp1"
"Rapgef6",0,1.16360009886099,0.975,0.818,0,"CD4/8 Naive/Stemlike","Rapgef6"
