"","V1","V2","V3","V4","V5","V6","V7","V8"
"Xkr4",0.232397967500868,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.531646905990385,2.22044604925031e-16
"Lypla1",0.356182339345598,0.54967918008409,2.22044604925031e-16,0.749097226447044,0.3259084316846,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tcea1",1.50459297843262,1.09788146906903,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.333330555759368,2.22044604925031e-16
"Rgs20",0.383143528038936,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Atp6v1h",2.22044604925031e-16,2.22044604925031e-16,6.85021034617137,5.73989444459158,2.22044604925031e-16,2.22044604925031e-16,2.17812030229995,1.74693927573206
"Rb1cc1",5.1225536543888,19.7623090594791,16.1471683927841,5.22735987120815,2.33493353948066,2.22044604925031e-16,22.6821892138956,12.7292769108748
"4732440D04Rik",1.45572685486346,0.232327755365423,0.96400369097804,3.75012804960346,2.22044604925031e-16,1.60452226947017,3.83107931695881,1.28578638450701
"Pcmtd1",9.98578822896108,2.70140950171545,3.99771408512241,13.872884816753,1.28222136574812e-12,2.22044604925031e-16,14.7789877550365,0.287348922656414
"Gm26901",0.486483526531063,2.22044604925031e-16,3.19936947235093,2.22044604925031e-16,0.514514763591902,2.29279881842263,2.22044604925031e-16,2.22044604925031e-16
"Sntg1",2.22044604925031e-16,0.691470394412303,2.22044604925031e-16,2.22044604925031e-16,7.2466986032285e-15,2.22044604925031e-16,2.88647502627409,2.22044604925031e-16
"Mybl1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.550920376224857,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Vcpip1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,4.1024153423822,2.22044604925031e-16,2.22044604925031e-16,0.677009628242067,2.22044604925031e-16
"Sgk3",4.69701120097764,2.22044604925031e-16,2.42493643372465,5.35859964324894,2.94955956408108,2.22044604925031e-16,1.96800339734283,4.14874598467669
"Mcmdc2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.328291329164631,2.22044604925031e-16,2.22044604925031e-16
"Tcf24",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.571631765110054
"Ppp1r42",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.660499008795038,2.22044604925031e-16,1.48839955137769,0.244679434541148,2.22044604925031e-16
"Cspp1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,12.0938873603503,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.710860093494726
"Arfgef1",12.0316518680787,3.13949317816913,2.57654012513401,11.0062395069134,2.22044604925031e-16,2.22044604925031e-16,0.0198875411502494,4.4793262592807
"Cpa6",0.393282026443505,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.637589642518841,2.22044604925031e-16,2.22044604925031e-16,1.0788301300718
