"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4","SC78_5_factor5","SC78_5_factor6","SC78_5_factor7"
"1","mt-Atp6","Retnlg","Nfkbia","Rsad2","Il1b","S100a9","S100a9"
"2","mt-Co3","S100a8","Cxcl2","Isg15","S100a9","Il1b","S100a8"
"3","mt-Cytb","S100a9","Ccrl2","Slfn4","Cebpb","S100a8","Malat1"
"4","mt-Nd4","S100a6","Tnfaip3","Ifitm3","Fth1","Malat1","Alcam"
"5","Rps8","Wfdc21","Gadd45b","Rtp4","Tmsb4x","Fos","Actg1"
"6","mt-Co2","Tmsb4x","Fth1","Oasl1","Malat1","Picalm","Srgn"
"7","Rpl8","Lcn2","Irg1","Ifit1","Srgn","Tmsb4x","Xylt1"
"8","mt-Nd2","G0s2","Il1b","Trim30a","Ftl1","Wfdc17","G0s2"
"9","Rps29","Actb","S100a9","Parp14","Actg1","Csf3r","Cd44"
"10","Rps3","Lyz2","Zeb2","Herc6","Il1r2","Srgn","Cebpb"
"11","mt-Co1","S100a11","Nfkbiz","Ddx60","Dusp1","Zfp36","Entpd1"
"12","Rpl9","Fth1","Birc3","Gbp2b","S100a8","Klf2","Sgms2"
"13","Rps21","Gapdh","Malat1","Sp100","H3f3b","Actb","Slc16a3"
"14","Rpl23","Actg1","Srgn","Malat1","Junb","Junb","Antxr2"
"15","Rpl18","Anxa1","Pim1","Samhd1","Kpna4","Ptprc","Cxcl2"
"16","Rps10","Lgals3","Clec4e","Gm13822","Actb","Dennd4a","Actb"
"17","Rplp2","Wfdc17","Marcksl1","Il1b","Rps9","Cxcr2","Clec4d"
"18","Rpl38","Gm5483","Tmsb4x","Irg1","Eif1","Gpcpd1","Chst11"
"19","mt-Nd1","Prdx5","Cebpb","B2m","Fau","Tpd52","Spag9"
"20","Rpl13a","Pglyrp1","Ifrd1","Ifi27l2a","Mcl1","Stk17b","Fth1"
"21","Rplp1","Cd52","Zfp36","Irf7","Msrb1","Dusp1","Cd14"
"22","Rpl10","Tspo","Plek","Oas3","Btg1","Sorl1","Btg1"
"23","Rpl39","BC100530","Pde4b","Plac8","Zfp36","Gcnt2","Nedd9"
"24","Rps14","Alox5ap","Mapkapk2","Srgn","H3f3a","Ssh2","Hdc"
"25","Rpl27a","Prr13","Junb","Gbp2","Ifitm2","Ddx6","Il1b"
"26","Rps3a1","Rps27a","Kdm6b","H2-K1","S100a11","Msrb1","Tmsb4x"
"27","Rps15","H3f3a","Cd14","Cd274","Dennd4a","Lcp1","Smox"
"28","Rpl41","Txn1","G0s2","Slfn1","Xylt1","Rnf149","Sik3"
"29","Rpl11","Rac2","Mxd1","Smchd1","Btg2","Cers6","Il1r2"
"30","Eef1a1","Ifitm2","Ptgs2","H2-D1","Tyrobp","Tmcc1","Mxd1"
