"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5"
"1","S100a9","mt-Co3","Il1b","Nfkbia","S100a8"
"2","Malat1","mt-Co1","Malat1","Cxcl2","S100a9"
"3","Srgn","mt-Atp6","S100a9","Fth1","Retnlg"
"4","Cebpb","mt-Co2","Tmsb4x","Ccrl2","S100a6"
"5","Il1b","mt-Cytb","Fth1","Il1b","Wfdc21"
"6","Cxcl2","Rps8","Srgn","S100a9","Tmsb4x"
"7","G0s2","Rplp1","Dusp1","Malat1","G0s2"
"8","Fth1","Rps3","Junb","Srgn","Fth1"
"9","Actg1","mt-Nd4","Fos","Irg1","Wfdc17"
"10","S100a8","Rpl10","Ftl1","Gadd45b","Actb"
"11","Tmsb4x","Rplp2","S100a8","Cebpb","Lcn2"
"12","Cd44","Rpl23","Zfp36","Tmsb4x","Actg1"
"13","Entpd1","Rpl8","Dennd4a","G0s2","S100a11"
"14","Spag9","Rpl13a","Cebpb","Pim1","Ccl6"
"15","Xylt1","Rpl38","Ubb","Cd14","Gapdh"
"16","Cd14","Eef1a1","Kpna4","Ftl1","Malat1"
"17","Antxr2","Rps13","Msrb1","Junb","Srgn"
"18","Il1r2","Rpl18","Actb","Zeb2","Cxcl2"
"19","Eif1","mt-Nd2","Il1r2","S100a8","H3f3a"
"20","Actb","Rps23","Csf3r","Actg1","Anxa1"
"21","H3f3b","Rpl27a","Btg2","Dusp1","Tspo"
"22","Chst11","Rps3a1","Ifitm1","Clec4e","Il1b"
"23","Btg1","Rpl39","Mcl1","Actb","Stx11"
"24","Sgms2","Rpl30","Wfdc17","Eif1","Hp"
"25","Alcam","Rps21","Rps9","Plek","Ifitm2"
"26","Dusp1","Rpl34","Ptprc","Ifitm2","Gm5483"
"27","Sik3","Rpl37a","Ifitm2","Marcksl1","Alox5ap"
"28","Hdc","Rpl11","Btg1","Mxd1","Ftl1"
"29","Tpd52","Rpl35a","Actg1","Rnf149","Prdx5"
"30","Clec4d","Rps29","H3f3a","Ifrd1","Rps9"
"31","Plek","Rpl9","Picalm","Mcl1","Tyrobp"
"32","Mcl1","Rps14","Neat1","Kdm6b","Cebpb"
"33","Lmnb1","Rps15","Tpd52","Nfkbiz","Taldo1"
"34","Slc16a3","Runx1","Tyrobp","H3f3b","Pglyrp1"
"35","Neat1","mt-Nd1","Fau","Birc3","Mcemp1"
"36","Ftl1","Rpl41","Stk17b","Hdc","Plaur"
"37","Ndel1","Rps10","Litaf","Spag9","Cd52"
"38","Mxd1","Rps24","S100a11","Irak2","Coro1a"
"39","Samsn1","Rps7","Mxd1","H2-D1","Txn1"
"40","Cd9","Rps11","Hdc","Btg1","Anxa2"
"41","Ifitm2","Hsp90aa1","H2-D1","Zfp36","Msrb1"
"42","Slc7a11","Rpl24","Klf2","Tyrobp","Rps27a"
"43","Litaf","Rpl19","H3f3b","Ier3","Prr13"
"44","Ets2","Elmo1","Sorl1","Nlrp3","Lcp1"
"45","Junb","Rpl7","Lrg1","Pik3ap1","Rac2"
"46","Smox","Rpl13","Gpcpd1","Dennd4a","Pfn1"
"47","Kpna4","Ccnd3","Fcer1g","Ptgs2","Lgals3"
