"gene"	"out"	"MP"
"Malat1"	75.120501439546	"MP1"
"Ftl1"	68.0348232427525	"MP1"
"H3f3b"	65.1770779283814	"MP1"
"Tmsb4x"	63.8349882448873	"MP1"
"Rps27"	60.1112123070583	"MP1"
"Tpt1"	59.7557172372752	"MP1"
"Fau"	58.4182104485539	"MP1"
"Fth1"	56.4700513964577	"MP1"
"Rpl18a"	56.3952908702987	"MP1"
"Rps29"	56.232265249871	"MP1"
"Ubb"	55.0899693448784	"MP1"
"Rpl23"	53.9333841697646	"MP1"
"Lst1"	53.8633859999546	"MP1"
"Ptma"	53.5238843053911	"MP1"
"Cebpb"	53.4860288655056	"MP1"
"Rpl39"	52.8980092579055	"MP1"
"Rpl27a"	52.8292385975811	"MP1"
"Eif1"	52.375808111257	"MP1"
"Atf3"	52.3196950601266	"MP1"
"Cxcr4"	51.9655025241001	"MP1"
"Srgn"	51.9199156104697	"MP1"
"Il1b"	51.6664714445679	"MP1"
"Rps10"	51.5845779021317	"MP1"
"Rps3"	51.0846062024343	"MP1"
"Atp2b1"	50.7558412988188	"MP1"
"Rplp2"	50.3413737399284	"MP1"
"Junb"	50.001381297847	"MP1"
"Il1r2"	49.9932290193597	"MP1"
"Rpl41"	49.9263878053864	"MP1"
"Rpl8"	49.8404446887032	"MP1"
"Gadd45b"	49.648483778997	"MP1"
"Cst3"	49.3788582847342	"MP1"
"Ccrl2"	49.3255766191069	"MP1"
"Rps13"	48.6775106028519	"MP1"
"Rps14"	48.1260104439338	"MP1"
"Rps8"	47.9768912861422	"MP1"
"Rps21"	47.6842677499217	"MP1"
"Rpl10"	47.6670492188807	"MP1"
"Kpna4"	47.6117676357225	"MP1"
"Ifrd1"	47.0306432392705	"MP1"
"Rpl9"	46.8556291580212	"MP1"
"Rpl17"	46.6685478226709	"MP1"
"Neat1"	46.5036862293693	"MP1"
"Rps23"	46.3079528683552	"MP1"
"Dusp1"	46.2595892074039	"MP1"
"Rpl38"	45.9817002174413	"MP1"
"Btg1"	45.94027779547	"MP1"
"Rplp1"	45.9298962744363	"MP1"
"Zfp36l2"	45.8861217039885	"MP1"
"Xylt1"	45.5883662963581	"MP1"
"Spag9"	45.5507266978477	"MP1"
"Rpl18"	45.5427017535124	"MP1"
"Rps16"	45.5226476599639	"MP1"
"Rps3a1"	45.4447132928003	"MP1"
"Fcer1g"	45.1430838249206	"MP1"
"H2-D1"	45.0834373136538	"MP1"
"Rpl21"	44.9350441546535	"MP1"
"Dennd4a"	44.723301283374	"MP1"
"Cdk2ap2"	44.2663054475201	"MP1"
"Actg1"	44.2610833028398	"MP1"
"Tyrobp"	43.3136824760502	"MP1"
"Csf1"	42.9416413201221	"MP1"
"Rpl30"	42.719375254407	"MP1"
"Ppp1r15a"	42.5387453255033	"MP1"
"Rpl13a"	42.5234829425377	"MP1"
"B2m"	42.2709686532009	"MP1"
"mt-Atp6"	42.1479180910282	"MP1"
"Fgl2"	42.131772288577	"MP1"
"Actb"	41.9570159130839	"MP1"
"1700112E06Rik"	41.6961050120643	"MP1"
"Inpp5d"	41.6878061851856	"MP1"
"Ubc"	41.5817138572064	"MP1"
"Serf2"	41.510192725537	"MP1"
"Calm2"	41.3926960384488	"MP1"
"Rps9"	41.3389524764138	"MP1"
"Rpl37a"	41.1782665913557	"MP1"
"Gab2"	41.1708185926186	"MP1"
"Hnrnpf"	40.9068830060415	"MP1"
"Rbm39"	40.8472945145406	"MP1"
"mt-Co3"	40.6386713650747	"MP1"
"Plek"	40.4818647538606	"MP1"
"H3f3a"	40.2530348773792	"MP1"
"Ddx5"	40.162506986771	"MP1"
"Rps27a"	39.624777357521	"MP1"
"Mbnl2"	39.5651315502784	"MP1"
"Mir142hg"	39.5198634873391	"MP1"
"H2-K1"	39.5195666694484	"MP1"
"Rabac1"	39.4173788576276	"MP1"
"Btg2"	39.2400043345009	"MP1"
"Msrb1"	39.1672851949535	"MP1"
"Mcl1"	39.1330828155459	"MP1"
"Hspa5"	38.9826025633597	"MP1"
"Rbm3"	38.960273282965	"MP1"
"Rpl34"	38.6381674741143	"MP1"
"AF251705"	38.5976839404567	"MP1"
"Fxyd5"	38.5883906181198	"MP1"
"Wnk1"	38.5656480016879	"MP1"
"Hsp90aa1"	38.2898320458195	"MP1"
"Cox8a"	38.1731737539932	"MP1"
"Igfbp6"	37.9494167418697	"MP1"
"Map1lc3b"	37.8215331663167	"MP1"
"Jun"	37.5002016442785	"MP1"
"Rpl35a"	37.3457187154714	"MP1"
"Eef1a1"	37.2872273995141	"MP1"
"Gm2a"	37.0816396282351	"MP1"
"Runx1"	36.946574978218	"MP1"
"Plin2"	36.7893245969103	"MP1"
"Ifitm2"	36.7668408230514	"MP1"
"Atp6v0e"	36.7368060716491	"MP1"
"Rsrp1"	36.730376501961	"MP1"
"Eif5"	36.7182378396113	"MP1"
"Tra2a"	36.5593608013899	"MP1"
"Gng5"	36.5285241929566	"MP1"
"Egr1"	36.4348053134478	"MP1"
"Litaf"	36.3472120152695	"MP1"
"Ankrd12"	36.2880548124316	"MP1"
"Gabarap"	36.2198567137875	"MP1"
"Rps11"	36.2105411704741	"MP1"
"Rpl19"	36.1810113895834	"MP1"
"Rpl11"	36.0061229990246	"MP1"
"Fam134b"	35.7074874368364	"MP1"
"Pnrc1"	35.395642387407	"MP1"
"Rps15"	35.3863771527819	"MP1"
"Fus"	35.2846189493357	"MP1"
"Rps28"	35.2822516331305	"MP1"
"Ddit3"	35.1173044516228	"MP1"
"Cox4i1"	34.9688965850736	"MP1"
"Klf2"	34.8948298523158	"MP1"
"Pfdn5"	34.817249081772	"MP1"
"Pfn1"	34.7550604105193	"MP1"
"Ppia"	34.6665388506476	"MP1"
"Fnip1"	34.6518797018314	"MP1"
"Polr2a"	34.4834410335044	"MP1"
"Jund"	34.3704101090398	"MP1"
"Rps7"	34.3527244731103	"MP1"
"Cd44"	34.2951289151427	"MP1"
"Ddx3x"	34.2383767710123	"MP1"
"Gm10076"	34.1952923023216	"MP1"
"Srsf5"	33.955277472527	"MP1"
"Rpl24"	33.9368825651235	"MP1"
"Rps26"	33.918379520684	"MP1"
"Fos"	33.8259887367855	"MP1"
